IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL,USD/TON,SINGLE HULLED,NEXT TO LAST,DATE OF CHANGE,SUB-TYPE OF SHIP,DATE SOLD FOR BREAKING,FORMER NAME,COMMENT
7705635,Beena,Bulker,,20586.0,1978.0,Cambodia,,International Bulk Carrier S.p.A.,Algeria,International Bulk Carrier S.p.A.,International Bulk Carrier S.p.A.,,"Alang, India",,2012-01-01 00:00:00,432.0,True,,,,,,
7305502,Iron Monarch,RoRo,,,1973.0,Australia,,Bluescope Steel Limited,Australia,Bluescope Steel Limited,Bluescope Steel (AIS) Proprietary Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9000948,Akarita,Crude Oil Tanker,,17081.0,1991.0,Bahamas,,Teekay Corporation,Bahamas,Teekay Marine Services AS,Delphine Shipping Incorporated,,"Alang, India",,2012-01-01 00:00:00,496.0,False,,,,,,
6607525,Amsterdam,Tug,,,1966.0,Bahrain,,Abdulla Ahmed Nass,Bahrain,Abdulla Ahmed Nass,Gulf Development Corporation E.C.,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8401353,Eagle N.,Bulker,,,1985.0,Panama,,Silvia Shipmanagement Limited,Bangladesh,Silvia Shipmanagement Limited,Union Care Investments Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8613011,Indian Ocean,Reefer,,6805.0,1989.0,Bahamas,,Trireme Vessel Management N.V.,Belgium,Trireme Vessel Management N.V.,Indian Ocean Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,405.0,True,,,,,,
7387017,Hardt,Asphalt Tanker,,2677.0,1975.0,Equatorial Guinea,,Maritec N.V.,Belgium,Maritec N.V.,Actinor Shipping S.A.,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9036507,Saraswati,Bulk and oil carrier,,,1993.0,St Kitts-Nevis,,B+H Ocean Carriers Limited,Bermuda,B+H Ocean Carriers Limited,Sakonnet Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9007269,Ipanema,RoRo,,,1992.0,Brazil,,Transroll Navegacao S.A.,Brazil,Transroll Navegacao S.A.,Transroll Navegacao S.A.,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8501799,Boucas,Product tanker,,,1989.0,Tanzania,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN,Brazil,Petrobras Transporte S.A. (TRANSPETRO),Petrobras Transporte S.A. (TRANSPETRO),,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8006256,Kamenitza,Bulker,,7636.0,1980.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Navigation Maritime Bulgare Limited (NAVIBULGAR),,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8120375,Okoltchitza,Bulker,,7836.0,1982.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Navigation Maritime Bulgare Limited (NAVIBULGAR),,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8912479,Plovdiv,Containership,,6635.0,1989.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Plovdiv Maritime Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8915861,Teteven,General Cargo ship,,4528.0,1990.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Sofia Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,355.0,False,,,,,,
8222599,Kaliakra,Bulker,,7755.0,1984.0,Malta,,Cosmos Shipping AD,Bulgaria,Cosmos Shipping AD,Kaliakra Limited,,"Alang, India",,2012-01-01 00:00:00,473.0,True,,,,,,
9038933,Napier,Reefer,,5288.0,1994.0,Comoros,,Siem Industries Incorporated,Cayman Islands,Siem Shipping Incorporated,Star Reefers Shipowning Incorporated,,"Alang, India",,2012-01-01 00:00:00,576.0,False,,,,,,
8814304,Argentina,Reefer,,,1992.0,Liberia,,Siem Industries Incorporated,Cayman Islands,Siem Shipping Incorporated,Star Reefers Shipowning Incorporated,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8307870,Don Raul,Bulker,,7292.0,1985.0,Panama,,Empresa Maritima S.A.,Chile,Empresa Maritima S.A.,Empresa Maritima S.A.,,"Alang, India",,2012-01-01 00:00:00,320.0,True,,,,,,
6615106,Arau,Product tanker,,,1967.0,Sierra Leone,,Government of Chile,Chile,Government of Chile,Government of Chile,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8811704,Yong An Men,RoRo,,9210.0,1990.0,China,,Nanjing Ocean Shipping Company Limited,China,Nanjing Ocean Shipping Company Limited,Xing Zhong Men Shipping,,"Alang, India",,2012-01-01 00:00:00,375.0,True,,,,,,
8124917,MSC Sarawak,Containership,,14544.0,1983.0,Hong Kong,,Centrans Ocean Shipping Logistics Group,China,Tianjin Centrans Shipping Management Company Limited,Venus Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,480.0,True,,,,,,
8401767,Shao Shan 1,Bulker,,7989.0,1984.0,Hong Kong,,China Ocean Shipping (Group) Company (COSCO),China,Hunan Ocean Shipping Company (COSCO Hunan),Shao Shan Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,485.0,True,,,,,,
8913942,Qinfa 9,Bulker,,12157.0,1990.0,Hong Kong,,Hong Kong Qinfa Shipping Limited,China,Hong Kong Qinfa Shipping Limited,Perpetual Goodluck Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8323472,Vista,Bulker,,,1987.0,Marshall Islands,,View Marine Limited,China,View Marine Limited,View Marine Limited,,"Alang, India",,2012-01-01 00:00:00,465.0,False,,,,,,
8314457,Jasmin,Bulker,,10328.0,1985.0,Panama,,ATL Shipping Limited,China,ATL Shipping Limited,Frankseddy Management Incorporated,,"Alang, India",,2012-01-01 00:00:00,403.0,False,,,,,,
